facility_id,cehrt_id,meets_criteria_for_promoting_interoperability_of_ehrs,start_date,end_date
21306,0015CCE123S5WK4,Y,1/1/2023,12/31/2023
21307,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
21308,0015CN9A2LCQ8V2,Y,1/1/2023,12/31/2023
21309,0015CN9A2LCQ8V2,Y,1/1/2023,12/31/2023
21310,0015CN9A2LCQ8V2,Y,1/1/2023,12/31/2023
21311,0015CU48GML2XL5,Y,1/1/2023,12/31/2023
21312,,,1/1/2023,12/31/2023
21313,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
21314,,,1/1/2023,12/31/2023
30002,0015CWG9E12DJH8,Y,1/1/2023,12/31/2023
30006,0015CRN2VX5J03M,Y,1/1/2023,12/31/2023
30007,0015C7EXC2HYX3X,Y,1/1/2023,12/31/2023
30010,0015CPS61Z1JW9R,Y,1/1/2023,12/31/2023
30011,0015CPS61Z1JW9R,Y,1/1/2023,12/31/2023
30012,0015CG9EYN4SXX0,Y,1/1/2023,12/31/2023
30013,0015C8XCN16R6V5,Y,1/1/2023,12/31/2023
30014,0015C0AWU30GFF9,Y,1/1/2023,12/31/2023
30016,0015CWG9E12DJH8,Y,1/1/2023,12/31/2023
30022,,,1/1/2023,12/31/2023
30023,0015C7EXC2HYX3X,Y,1/1/2023,12/31/2023
30024,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
30030,0015CLT8S0A3MT6,Y,1/1/2023,12/31/2023
30036,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
30037,0015C28CYJ5LLF4,Y,1/1/2023,12/31/2023
30038,0015C0AWU30GFF9,Y,1/1/2023,12/31/2023
30043,0015CQC4AND9RQT,Y,1/1/2023,12/31/2023
30055,0015C5DAR6S83CP,Y,1/1/2023,12/31/2023
30061,0015CWG9E12DJH8,Y,1/1/2023,12/31/2023
30062,0015CW4VMW3NMY3,Y,1/1/2023,12/31/2023
30064,0015CWG9E12DJH8,Y,1/1/2023,12/31/2023
30065,0015CWG9E12DJH8,Y,1/1/2023,12/31/2023
30069,0015CD30BJE5K3L,Y,1/1/2023,12/31/2023
30071,0015CWD0UCD0JJL,,1/1/2023,12/31/2023
30073,0015CF2C9MW8EHH,Y,1/1/2023,12/31/2023
30074,,,1/1/2023,12/31/2023
30078,,,1/1/2023,12/31/2023
30083,0015CLT8S0A3MT6,Y,1/1/2023,12/31/2023
30084,0015CWD0UCD0JJL,Y,1/1/2023,12/31/2023
30085,0015CPE9ARQ008M,Y,1/1/2023,12/31/2023
30087,0015C0AWU30GFF9,Y,1/1/2023,12/31/2023
30088,0015CWG9E12DJH8,Y,1/1/2023,12/31/2023
30089,0015CWG9E12DJH8,Y,1/1/2023,12/31/2023
30092,0015C0AWU30GFF9,Y,1/1/2023,12/31/2023
30093,0015CWG9E12DJH8,Y,1/1/2023,12/31/2023
30094,0015CLT8S0A3MT6,Y,1/1/2023,12/31/2023
30101,0015CR8535UDY24,Y,1/1/2023,12/31/2023
30103,0015CVV17E9ZY7H,Y,1/1/2023,12/31/2023
30105,0015CWG9E12DJH8,Y,1/1/2023,12/31/2023
30107,0015C40C0YCP4T4,Y,1/1/2023,12/31/2023
30108,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
30110,0015CLT8S0A3MT6,Y,1/1/2023,12/31/2023
30111,0015CWG9E12DJH8,Y,1/1/2023,12/31/2023
30112,0015C80E18RAW4X,Y,1/1/2023,12/31/2023
30113,0015CWD0UCD0JJL,,1/1/2023,12/31/2023
30114,0015CPE9ARQ008M,Y,1/1/2023,12/31/2023
30115,0015CWG9E12DJH8,Y,1/1/2023,12/31/2023
30117,0015CD30BJE5K3L,Y,1/1/2023,12/31/2023
30119,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
30121,0015C28CYJ5LLF4,Y,1/1/2023,12/31/2023
30122,0015CWG9E12DJH8,Y,1/1/2023,12/31/2023
30123,0015C0AWU30GFF9,Y,1/1/2023,12/31/2023
30130,0015CWG9E12DJH8,Y,1/1/2023,12/31/2023
30131,0015CD0JYV8VZG4,Y,1/1/2023,12/31/2023
30134,0015CWG9E12DJH8,Y,1/1/2023,12/31/2023
30136,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
30138,,,1/1/2023,12/31/2023
30139,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
30146,0015C0AWU30GFF9,Y,1/1/2023,12/31/2023
30147,0015CWG9E12DJH8,Y,1/1/2023,12/31/2023
30148,0015CPE9ARQ008M,Y,1/1/2023,12/31/2023
30152,,,1/1/2023,12/31/2023
30153,,,1/1/2023,12/31/2023
30154,,,1/1/2023,12/31/2023
30155,,,1/1/2023,12/31/2023
31300,0015CP587BP0W9H,Y,1/1/2023,12/31/2023
31301,0015CT0PPT32RH0,Y,1/1/2023,12/31/2023
31302,,,1/1/2023,12/31/2023
31304,0015CWG9E12DJH8,Y,1/1/2023,12/31/2023
31305,,,1/1/2023,12/31/2023
31307,0015CWD0UCD0JJL,,1/1/2023,12/31/2023
31308,0015C9AFY8WDK5S,Y,1/1/2023,12/31/2023
31309,0015CHA8WQP3E7L,,1/1/2023,12/31/2023
31311,0015CDA13YNK8F1,,1/1/2023,12/31/2023
31312,0015CAM1MLV2KZK,Y,1/1/2023,12/31/2023
31313,0015CPS61Z1JW9R,Y,1/1/2023,12/31/2023
31314,0015CUB5R65YGA6,Y,1/1/2023,12/31/2023
31315,0015CFG3Q10HY2V,,1/1/2023,12/31/2023
31317,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
31318,0015CWG9E12DJH8,Y,1/1/2023,12/31/2023
31319,,,1/1/2023,12/31/2023
31320,,,1/1/2023,12/31/2023
33302,,,1/1/2023,12/31/2023
40001,0015CR8535UDY24,Y,1/1/2023,12/31/2023
40002,0015CLL9BFC6CSF,Y,1/1/2023,12/31/2023
40004,0015CBK38PFT73K,Y,1/1/2023,12/31/2023
40007,0015CU2LP5KVN3H,Y,1/1/2023,12/31/2023
40010,0015C4J0ZKW5KKJ,Y,1/1/2023,12/31/2023
40011,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
40014,0015C6K0NZ9XFK8,Y,1/1/2023,12/31/2023
40015,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
40016,0015C257B7545Y1,Y,1/1/2023,12/31/2023
40017,0015C7G1W5TK50F,Y,1/1/2023,12/31/2023
40018,0015CJ0Y3UMW0HN,Y,1/1/2023,12/31/2023
40019,0015C8CHE73ABS5,Y,1/1/2023,12/31/2023
40020,0015CUB5R65YGA6,Y,1/1/2023,12/31/2023
40022,0015CPE9ARQ008M,Y,1/1/2023,12/31/2023
40026,0015C4J0ZKW5KKJ,Y,1/1/2023,12/31/2023
40027,0015CAP2SWL42X3,Y,1/1/2023,12/31/2023
40029,0015C7KPC5GW1G3,Y,1/1/2023,12/31/2023
40036,0015CJ0Y3UMW0HN,Y,1/1/2023,12/31/2023
40039,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
40041,0015CE30CZD3LXB,Y,1/1/2023,12/31/2023
40050,0015C8CHE73ABS5,Y,1/1/2023,12/31/2023
40051,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
40055,0015CJ0Y3UMW0HN,Y,1/1/2023,12/31/2023
